source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,signal_family_count_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,y_phishing,split
vp_36582_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36583_case_001,0,0,0,0,0,0,0,1,1,2,0,0,1,train
vp_36583_case_002,0,0,0,0,0,0,0,1,0,1,0,0,1,train
vp_36584_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36584_case_002,1,1,0,0,1,0,0,4,1,5,0,0,1,train
vp_36584_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36584_case_004,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36585_case_001,0,0,0,0,0,0,0,1,0,0,0,0,1,train
vp_36586_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36587_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,validation
vp_36587_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36587_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36588_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36589_case_001,0,0,0,0,0,0,0,1,0,1,0,0,1,validation
vp_36590_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36591_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36592_case_001,0,0,0,1,0,0,0,1,0,2,0,0,1,train
vp_36593_case_001,0,0,0,0,0,0,0,0,1,1,0,0,1,train
vp_36593_case_002,0,0,0,0,1,0,0,1,0,1,0,0,1,validation
vp_36594_case_001,0,0,0,0,0,0,0,0,0,0,0,0,1,test
vp_36594_case_002,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36594_case_003,0,0,0,0,0,0,0,0,0,0,0,0,1,train
vp_36595_case_001,0,0,0,0,1,1,0,1,1,2,0,1,1,validation
