분류,게시글ID,제목,게시글URL,미디어URL,상태,파일,오류
바로 이 목소리,130781,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(9/12) 2023-10-06 | 4256 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130781&menuNo=200686&pageIndex=2,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=bd1b48ebefc84a9eb5c835837acb9655&atchFileId=e4067f1f1f1e4aac915b8717c030b4ea&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130781_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(9_12) 2023-10-06 _ 4256 회.mp4",
바로 이 목소리,130780,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(7/12) 2023-10-06 | 4273 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130780&menuNo=200686&pageIndex=2,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=55bfc0f4100a409591060a2ff741bccf&atchFileId=49ca87b7508c4b55b9e40307c49f19fd&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130780_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(7_12) 2023-10-06 _ 4273 회.mp4",
바로 이 목소리,130778,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(8/12) 2023-10-06 | 3697 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130778&menuNo=200686&pageIndex=2,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=48efc4842bd448f6a9b6493057310a52&atchFileId=0c661ac6fa954bc88616a86f7b614e2b&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130778_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(8_12) 2023-10-06 _ 3697 회.mp4",
바로 이 목소리,130768,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(6/12) 2023-10-06 | 3590 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130768&menuNo=200686&pageIndex=2,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=18d852ea12e64aa9985b4e4098dd42ca&atchFileId=0c671bb370fa4ba3b673a2f084a8be4e&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130768_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(6_12) 2023-10-06 _ 3590 회.mp4",
바로 이 목소리,130767,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(5/12) 2023-10-06 | 3774 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130767&menuNo=200686&pageIndex=2,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=95487eea3cf34f02b1e4d048fc7e55e5&atchFileId=3df14f6eaac9407ca7d5da0b4437d704&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130767_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(5_12) 2023-10-06 _ 3774 회.mp4",
바로 이 목소리,130766,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(4/12) 2023-10-06 | 2142 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130766&menuNo=200686&pageIndex=2,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=59f7d3216dab44248108555a7a74a58e&atchFileId=0c70069d0196449c9f770fc945806e74&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130766_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(4_12) 2023-10-06 _ 2142 회.mp4",
바로 이 목소리,130764,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(3/12) 2023-10-06 | 1745 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130764&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=df9c5175a5674af2b4f634556d6622ff&atchFileId=29fdf506152141feae0aa8480cd1e950&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130764_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(3_12) 2023-10-06 _ 1745 회.mp4",
바로 이 목소리,130762,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(2/12) 2023-10-06 | 1638 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130762&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=b3f91003ecd649e2a6bbea67093ed60a&atchFileId=c14ba362749b462da4d8a9e7ba06b5a0&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130762_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(2_12) 2023-10-06 _ 1638 회.mp4",
바로 이 목소리,130761,"바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(1/12) 2023-10-06 | 1753 회",https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=130761&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=6b94c8ad2f7e4ca2a022b6d00102ffd8&atchFileId=4eca7c2f567249b69e60e5c0adbca2a6&fileSn=1,다운로드,"원본 영상 및 음원\바로 이 목소리\130761_바로 이 목소리, 보이스피싱 상습범의 목소리를 들어보세요(1_12) 2023-10-06 _ 1753 회.mp4",
바로 이 목소리,18324,4차례 신고된 남성 전화금융사기범 음성 2021-05-17 | 21188 회,https://www.fss.or.kr/fss/bbs/B0000203/view.do?nttId=18324&menuNo=200686&pageIndex=3,https://www.fss.or.kr/fss/cmmn/vodApi/apiVodDownload.do?mediaId=3cf9b8b17a4e465d9e39998a0fe13248&atchFileId=894c74803b65b5acc9aa00a487dd0c2b&fileSn=2,다운로드,원본 영상 및 음원\바로 이 목소리\18324_4차례 신고된 남성 전화금융사기범 음성 2021-05-17 _ 21188 회.mp4,
