연도,월,지역,분류축,분류값,지표,값,단위,출처파일
2023,,전국,사기유형,기관사칭형,검거인원,8039,명,경찰청_보이스피싱 현황_20251231.csv
2023,,전국,사기유형,기관사칭형,발생건수,11314,건,경찰청_보이스피싱 현황_20251231.csv
2023,,전국,사기유형,기관사칭형,피해액,2364,억원,경찰청_보이스피싱 현황_20251231.csv
2023,,전국,사기유형,대출사기형,검거인원,14347,명,경찰청_보이스피싱 현황_20251231.csv
2023,,전국,사기유형,대출사기형,발생건수,7588,건,경찰청_보이스피싱 현황_20251231.csv
2023,,전국,사기유형,대출사기형,피해액,2108,억원,경찰청_보이스피싱 현황_20251231.csv
2023,,전국,성별,남성,피해자수,12319,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2023,,전국,성별,여성,피해자수,6583,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2023,,전국,연령대,20대이하,피해자수,8886,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,,전국,연령대,30대,피해자수,1621,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,,전국,연령대,40대,피해자수,2325,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,,전국,연령대,50대,피해자수,3149,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,,전국,연령대,60대,피해자수,2144,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,,전국,연령대,70대이상,피해자수,777,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2023,,전남,전체,전체,피해액,102,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,전북,전체,전체,피해액,137,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2023,,제주,전체,전체,피해액,109,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
