연도,월,지역,분류축,분류값,지표,값,단위,출처파일
2025,,전국,성별,여성,피해자수,11202,명,경찰청_전화금융사기 피해자 성별 현황_20251231.csv
2025,,전국,연령대,20대이하,피해자수,5770,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2025,,전국,연령대,30대,피해자수,2510,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2025,,전국,연령대,40대,피해자수,2992,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2025,,전국,연령대,50대,피해자수,4794,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2025,,전국,연령대,60대,피해자수,5801,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2025,,전국,연령대,70대이상,피해자수,1493,명,경찰청_전화금융사기 피해자 연령별 현황_20251231 (1).csv
2025,,전남,전체,전체,피해액,262,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2025,,전북,전체,전체,피해액,342,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2025,,제주,전체,전체,피해액,159,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2025,,충남,전체,전체,피해액,540,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
2025,,충북,전체,전체,피해액,355,억원,경찰청_전화금융사기_보이스피싱 시도청별 피해금액 현황_20251231.csv
