반응,사건수,피해자발화사건중_pct,전체776건중_pct,CI_low,CI_high
경계반응,49,13.649025069637883,6.314432989690721,10.48049018728931,17.587294763499134
경계검증질문,7,1.9498607242339834,0.902061855670103,0.9476406454438417,3.9695463584719164
명시적의심,21,5.8495821727019495,2.7061855670103094,3.8574548931666413,8.776598093040013
거절저항,28,7.7994428969359335,3.608247422680412,5.451020661900653,11.041465315451447
모든질문,288,80.22284122562674,37.11340206185567,75.79184987142786,84.01386149132657
명확한순응,26,7.242339832869081,3.350515463917526,4.989957865664198,10.400118685646346
단순긍정,264,73.53760445682451,34.02061855670103,68.74249359480757,77.83430465544818
혼란,94,26.18384401114206,12.11340206185567,21.905316324968368,30.966680711755096
