조건이벤트_A,심리전략,사칭,요구행동,금액
심리전략,100.0,85.2686308492201,42.46100519930676,34.31542461005199
사칭,99.59514170040485,100.0,43.7246963562753,33.80566801619433
요구행동,99.19028340080972,87.4493927125506,100.0,49.392712550607285
금액,94.28571428571428,79.52380952380952,58.0952380952381,100.0
