phase,window수,사건수,이후_고위험행동_window수,이후_고위험행동률,평균_신호수,이후_고위험행동률_pct
초반,953,283,92,0.09653725078698845,2.2518363064008393,9.653725078698844
중반,1494,416,140,0.09370816599732262,2.0468540829986615,9.370816599732262
후반,1555,463,84,0.054019292604501605,1.859807073954984,5.40192926045016
