prev_group,대화지속·수행,경계·의심,기타
대화지속·수행,81.55080213903744,17.11229946524064,1.3368983957219251
경계·의심,48.4641638225256,50.51194539249146,1.023890784982935
기타,50.0,40.0,10.0
