지표,사건수,질문2개이상_사건수,비율_pct
대화지속·수행 질문 뒤 경계·의심 질문이 등장한 사건,83,211,39.3
경계·의심 질문 뒤 다시 대화지속·수행 질문이 등장한 사건,96,211,45.5
