대표_사칭그룹,사건수,전체776건대비_pct,사칭사건중_pct
FINANCIAL_INSTITUTION,322,41.49484536082475,65.18218623481782
NO_IMPERSONATION,282,36.340206185567006,
PUBLIC_AGENCY,127,16.3659793814433,25.708502024291498
MULTI_TIE,34,4.381443298969072,6.882591093117409
ACQUAINTANCE,6,0.7731958762886598,1.214574898785425
FAMILY,2,0.25773195876288657,0.4048582995951417
TELECOM_COMPANY,2,0.25773195876288657,0.4048582995951417
DELIVERY_LOGISTICS,1,0.12886597938144329,0.20242914979757085
