사칭그룹,사건수,전체사건대비_pct,사칭탐지사건중_pct,표시명
FINANCIAL_INSTITUTION,322,41.49484536082475,65.18218623481782,금융기관
PUBLIC_AGENCY,127,16.3659793814433,25.708502024291498,공공기관
MULTI_TIE,34,4.381443298969072,6.882591093117409,복수유형 공동 1위
ACQUAINTANCE,6,0.7731958762886598,1.214574898785425,지인·업무관계
FAMILY,2,0.25773195876288657,0.4048582995951417,가족
TELECOM_COMPANY,2,0.25773195876288657,0.4048582995951417,통신사
DELIVERY_LOGISTICS,1,0.12886597938144329,0.20242914979757085,배송·물류
NO_IMPERSONATION,282,36.340206185567006,,대표 사칭 없음
