심리전략,요구행동,심리전략_사건수,동반사건수,P(행동|전략)_pct,Lift
ISOLATION_SECRECY,DISCLOSE_OTP,29,1,3.4482758620689653,2.4326018808777428
BEHAVIOR_CONTROL,WITHDRAW_CASH,14,2,14.285714285714285,1.204968944099379
BEHAVIOR_CONTROL,TRANSFER_MONEY,14,2,14.285714285714285,1.9113300492610836
BEHAVIOR_CONTROL,DISCLOSE_ACCOUNT,14,1,7.142857142857142,1.2597402597402596
BEHAVIOR_CONTROL,DISCLOSE_ID_NUMBER,14,0,0.0,0.0
BEHAVIOR_CONTROL,REPAY_LOAN,14,2,14.285714285714285,3.576036866359447
BEHAVIOR_CONTROL,DISCLOSE_CARD,14,1,7.142857142857142,2.217142857142857
BEHAVIOR_CONTROL,PAY_FEE,14,0,0.0,0.0
BEHAVIOR_CONTROL,AVOID_OUTSIDE_CONTACT,14,0,0.0,0.0
BEHAVIOR_CONTROL,DISCLOSE_PASSWORD,14,0,0.0,0.0
BEHAVIOR_CONTROL,VISIT_BANK,14,2,14.285714285714285,6.928571428571428
BEHAVIOR_CONTROL,KEEP_CALL_CONNECTED,14,3,21.428571428571427,12.79120879120879
BEHAVIOR_CONTROL,DISCLOSE_OTP,14,1,7.142857142857142,5.038961038961038
