신호,고위험행동사건수,행동이전_신호사건수,행동이전_등장률_pct,LeadTime_중앙값_turn,LeadTime_Q1_turn,LeadTime_Q3_turn,3Turn이상_pct,5Turn이상_pct,10Turn이상_pct
사칭,231,132,57.14285714285714,14.5,7.0,28.25,88.63636363636364,85.60606060606061,68.18181818181817
긴급성·시간압박,231,124,53.67965367965368,16.0,6.0,31.25,87.90322580645162,82.25806451612904,67.74193548387096
권위·신뢰,231,120,51.94805194805194,14.0,7.0,31.0,89.16666666666667,87.5,67.5
금전요구,231,82,35.4978354978355,11.0,3.25,26.0,81.70731707317073,68.29268292682927,54.87804878048781
대화지속 질문,231,63,27.27272727272727,15.0,8.0,32.0,90.47619047619048,88.88888888888889,66.66666666666666
공포·위협,231,60,25.97402597402597,18.0,8.0,36.0,90.0,83.33333333333334,71.66666666666667
경계 질문,231,29,12.554112554112553,18.0,9.0,39.0,93.10344827586206,89.65517241379311,72.41379310344827
정당성 구축,231,25,10.822510822510822,23.0,12.0,44.0,88.0,80.0,76.0
정보추출,231,10,4.329004329004329,5.0,2.5,21.0,70.0,60.0,40.0
