case_id,first_signal_turn,first_risk_turn,lead_turns,신호
vp_36730_case_001,35.0,50,15.0,금전요구
vp_36731_case_002,8.0,27,19.0,금전요구
vp_36735_case_001,6.0,41,35.0,금전요구
vp_36735_case_005,17.0,44,27.0,금전요구
vp_18284_case_001,22.0,23,1.0,정보추출
vp_18297_case_002,10.0,14,4.0,정보추출
vp_18305_case_003,4.0,6,2.0,정보추출
vp_217132_case_001,2.0,58,56.0,정보추출
vp_36339_case_005,8.0,13,5.0,정보추출
vp_36362_case_004,6.0,11,5.0,정보추출
vp_36372_case_001,12.0,33,21.0,정보추출
vp_36403_case_001,3.0,24,21.0,정보추출
vp_36416_case_001,14.0,52,38.0,정보추출
vp_36492_case_001,18.0,20,2.0,정보추출
vp_130780_case_001,21.0,33,12.0,대화지속 질문
vp_18244_case_001,2.0,4,2.0,대화지속 질문
vp_18261_case_001,4.0,5,1.0,대화지속 질문
vp_18262_case_001,17.0,41,24.0,대화지속 질문
vp_18265_case_001,2.0,28,26.0,대화지속 질문
vp_18270_case_001,6.0,17,11.0,대화지속 질문
vp_18270_case_002,11.0,19,8.0,대화지속 질문
vp_18280_case_002,1.0,3,2.0,대화지속 질문
vp_18287_case_001,6.0,30,24.0,대화지속 질문
vp_18311_case_001,17.0,41,24.0,대화지속 질문
vp_18315_case_001,10.0,32,22.0,대화지속 질문
vp_36354_case_001,4.0,21,17.0,대화지속 질문
vp_36362_case_004,2.0,11,9.0,대화지속 질문
vp_36366_case_001,1.0,3,2.0,대화지속 질문
vp_36368_case_001,8.0,89,81.0,대화지속 질문
vp_36377_case_007,4.0,16,12.0,대화지속 질문
vp_36379_case_002,10.0,11,1.0,대화지속 질문
vp_36380_case_001,1.0,37,36.0,대화지속 질문
vp_36381_case_001,8.0,68,60.0,대화지속 질문
vp_36385_case_001,20.0,26,6.0,대화지속 질문
vp_36385_case_005,61.0,94,33.0,대화지속 질문
vp_36388_case_001,10.0,31,21.0,대화지속 질문
vp_36392_case_001,1.0,7,6.0,대화지속 질문
vp_36403_case_001,9.0,24,15.0,대화지속 질문
vp_36405_case_001,3.0,165,162.0,대화지속 질문
vp_36406_case_001,4.0,15,11.0,대화지속 질문
vp_36413_case_001,44.0,192,148.0,대화지속 질문
vp_36416_case_003,1.0,23,22.0,대화지속 질문
vp_36512_case_002,2.0,22,20.0,대화지속 질문
vp_36515_case_001,5.0,6,1.0,대화지속 질문
vp_36516_case_001,22.0,46,24.0,대화지속 질문
vp_36516_case_002,3.0,14,11.0,대화지속 질문
vp_36517_case_002,1.0,6,5.0,대화지속 질문
vp_36524_case_001,4.0,13,9.0,대화지속 질문
vp_36579_case_001,1.0,15,14.0,대화지속 질문
vp_36582_case_001,11.0,26,15.0,대화지속 질문
vp_36583_case_002,11.0,26,15.0,대화지속 질문
vp_36587_case_003,11.0,33,22.0,대화지속 질문
vp_36593_case_001,9.0,14,5.0,대화지속 질문
vp_36602_case_001,10.0,39,29.0,대화지속 질문
vp_36602_case_002,21.0,62,41.0,대화지속 질문
vp_36602_case_004,1.0,40,39.0,대화지속 질문
vp_36603_case_001,4.0,49,45.0,대화지속 질문
vp_36613_case_002,4.0,67,63.0,대화지속 질문
vp_36626_case_001,4.0,13,9.0,대화지속 질문
vp_36630_case_001,6.0,13,7.0,대화지속 질문
vp_36644_case_001,8.0,148,140.0,대화지속 질문
vp_36645_case_001,7.0,13,6.0,대화지속 질문
vp_36649_case_001,16.0,51,35.0,대화지속 질문
vp_36661_case_001,35.0,38,3.0,대화지속 질문
vp_36674_case_001,2.0,52,50.0,대화지속 질문
vp_36682_case_001,1.0,13,12.0,대화지속 질문
vp_36688_case_001,101.0,186,85.0,대화지속 질문
vp_36705_case_001,7.0,15,8.0,대화지속 질문
vp_36707_case_001,2.0,58,56.0,대화지속 질문
vp_36710_case_001,15.0,31,16.0,대화지속 질문
vp_36715_case_001,3.0,12,9.0,대화지속 질문
vp_36719_case_001,3.0,36,33.0,대화지속 질문
vp_36730_case_001,29.0,50,21.0,대화지속 질문
vp_36731_case_001,6.0,14,8.0,대화지속 질문
vp_36731_case_002,14.0,27,13.0,대화지속 질문
vp_36735_case_001,10.0,41,31.0,대화지속 질문
vp_36735_case_005,36.0,44,8.0,대화지속 질문
vp_18247_case_001,4.0,26,22.0,경계 질문
vp_18262_case_001,3.0,41,38.0,경계 질문
vp_18284_case_002,18.0,23,5.0,경계 질문
vp_18309_case_001,2.0,15,13.0,경계 질문
vp_18315_case_001,20.0,32,12.0,경계 질문
vp_36354_case_001,6.0,21,15.0,경계 질문
vp_36364_case_001,2.0,3,1.0,경계 질문
vp_36368_case_001,23.0,89,66.0,경계 질문
vp_36385_case_001,8.0,26,18.0,경계 질문
vp_36385_case_004,22.0,87,65.0,경계 질문
vp_36405_case_001,14.0,165,151.0,경계 질문
vp_36406_case_001,9.0,15,6.0,경계 질문
vp_36413_case_001,4.0,192,188.0,경계 질문
vp_36516_case_001,7.0,46,39.0,경계 질문
vp_36521_case_001,1.0,10,9.0,경계 질문
vp_36524_case_001,12.0,13,1.0,경계 질문
vp_36584_case_002,30.0,38,8.0,경계 질문
vp_36593_case_001,4.0,14,10.0,경계 질문
vp_36593_case_002,2.0,11,9.0,경계 질문
vp_36602_case_002,15.0,62,47.0,경계 질문
vp_36602_case_004,5.0,40,35.0,경계 질문
vp_36638_case_001,4.0,33,29.0,경계 질문
vp_36641_case_001,29.0,103,74.0,경계 질문
vp_36652_case_003,2.0,12,10.0,경계 질문
vp_36676_case_001,39.0,49,10.0,경계 질문
vp_36688_case_001,14.0,186,172.0,경계 질문
vp_36716_case_002,17.0,20,3.0,경계 질문
vp_36719_case_001,14.0,36,22.0,경계 질문
vp_36730_case_001,14.0,50,36.0,경계 질문
